lat,lon
16.51,96.11
13.7572,100.4849
32.243254,-110.946221
30.3,120.2
-34.86111866,179.0576651
12.9165,79.1325
48.21,16.37
-23.55,-46.633
41.657,-91.549
22.38,114.2
10.76993,-73.00479
35.84,50.9391
11.325,142.189
55.329053,8.74336
56.565132,9.042158
56.126497,10.141274
40.807051,14.168539
-29.40699,30.67534
35.97,-84.36
